product_custom_field_id,id,lang_bg,lang_cs,lang_de,lang_el,lang_en,lang_es,lang_et,lang_fr,lang_hr,lang_hu,lang_it,lang_lt,lang_lv,lang_nl,lang_pl,lang_ro,lang_sk,lang_sl,name
275c415e-a24b-4046-a4f2-574218cb5d3b,b142d402-c117-4121-a797-2f5a3e0e6537,Inappropriate gift,Nevhodný dárek,Unangemessenes Geschenk,Ακατάλληλο δώρο,Inappropriate gift,Regalo inapropiado,Ebasobiv kingitus,Cadeau inapproprié,Neprimjeran poklon,Alkalmatlan ajándék,Inappropriate gift,Netinkama dovana,Neatbilstoša dāvana,Ongepast cadeau,Nietrafiony prezent,Cadou nepotrivit,Nevhodný darček,Neprimerno darilo,Nevhodný dárek
275c415e-a24b-4046-a4f2-574218cb5d3b,b93e9481-584a-46bb-ad21-88d72cb661e1,Not interested anymore,Nesedí velikost,Nicht mehr interessiert,Δεν ενδιαφέρομαι πλέον,Not interested anymore,Ya no me interesa,Ei ole enam huvitatud,Je ne suis plus intéressé,Nisam više zainteresiran/a,Már nincs szükségem rá,Not interested anymore,Daugiau nebedomina,Man prece vairs neinteresē,Niet meer geïnteresseerd,Nie potrzebuję już produktu,Nu mai sunt interesaţ,Nesedí veľkosť,Ne zanima me več,Nesedí velikost
275c415e-a24b-4046-a4f2-574218cb5d3b,91d655f4-30d4-4a9e-9d00-54dc054e5705,Not up to my expectations,Není podle mých představ,Entspricht nicht meinen Erwartungen,Δεν ανταποκρίνεται στις προσδοκίες μου,Not up to my expectations,No está a la altura de mis expectativas,Ei vastanud ootustele,Ne correspond pas à mes attentes,Nije ispunio moja očekivanja,Nem ilyenre számítottam,Not up to my expectations,Nepatenkino mano lūkesčių,Neatbilst manām vajadzībām,Voldoet niet aan mijn verwachtingen,Nie odpowiada moim oczekiwaniom,Nu corespunde aștepărilor,Nie je podľa mojich predstáv,Ni v skladu z mojimi pričakovanji,Není podle mých představ
275c415e-a24b-4046-a4f2-574218cb5d3b,a732ca91-b5be-4fc8-b66e-fc64c866126a,No reason,Bez důvodu,Kein Grund,Χωρίς αιτία,No reason,Ninguna razón,Põhjus puudub,Pas de raison,Bez razloga,Nincs indok,No reason,Nėra priežasties,Nav iemesla,Geen reden,Bez powodu,Fără Motiv,Bez dôvodu,Brez razloga,Bez důvodu
d927c00f-e847-4fc9-974d-4d039d89691b,ff1111e9-fd13-4fed-bad5-3a8b862b319e,,Výměna za nový kus,,,,,,,,Csere új darabra,,,,,,,Výmena za nový kus,,Výměna za nový kus
d927c00f-e847-4fc9-974d-4d039d89691b,535b98b4-5e0d-4987-bc64-14a491298031,,Výměna za jiné zboží,,,,,,,,Csere más termékre,,,,,,,Výmena za iný tovar,,Výměna za jiné zboží
9bc6b7f6-b7ca-4bf0-8a38-cf9daec1eb47,635bf02b-f057-4857-8d62-2e6469c2b2cc,,Vrácení peněz,,,,,,,,Pénz visszatérítése,,,,,,,Vrátenie peňazí,,Vrácení peněz
9bc6b7f6-b7ca-4bf0-8a38-cf9daec1eb47,95617d21-7720-4f6f-b564-20f3e21ab01d,,Výměna za jiné zboží,,,,,,,,Csere másik termékre,,,,,,,Výmena za iný tovar,,Výměna za jiné zboží
d02265db-ddf9-40a0-8d6a-4e0af2f5406a,a637c006-d61a-477f-a06a-b7e7f483b482,,Nelze zapnout,,,,,,,,Nem lehet bekapcsolni,,,,,,,Nemožno zapnúť,,Nelze zapnout
d02265db-ddf9-40a0-8d6a-4e0af2f5406a,5569644b-f538-4b10-ab5a-507be001e66e,,Nevibruje,,,,,,,,Nem vibrál,,,,,,,Nevibruje,,Nevibruje
d02265db-ddf9-40a0-8d6a-4e0af2f5406a,967967e4-75ab-43ef-9b9f-ee6fa6384164,,Nepřiráží,,,,,,,,Nem mozog fel-le,,,,,,,Nepriráža,,Nepřiráží
d02265db-ddf9-40a0-8d6a-4e0af2f5406a,e065ebb3-b5b3-4a3b-9a85-2af954cf2bf8,,Nefunkční tlakové vlny,,,,,,,,Nem működő nyomáshullámok,,,,,,,Nefunkčné tlakové vlny,,Nefunkční tlakové vlny
d02265db-ddf9-40a0-8d6a-4e0af2f5406a,f7b6d050-cb6c-4728-a592-20301e19eb19,,Nelze nabít do plna,,,,,,,,Nem lehet teljesen feltölteni,,,,,,,Nemožno nabiť doplna,,Nelze nabít do plna
d02265db-ddf9-40a0-8d6a-4e0af2f5406a,030e2ee1-3728-446a-957d-6eb646e110a9,,Při nabíjení nebliká/nesvítí dioda,,,,,,,,Töltés közben nem villog/nem világít a dióda ,,,,,,,Pri nabíjaní nebliká/nesvieti dióda,,Při nabíjení nebliká/nesvítí dioda
d02265db-ddf9-40a0-8d6a-4e0af2f5406a,ffb0a98e-ebae-4571-b869-12ea84feb7b7,,Vypíná se,,,,,,,,Kikapcsol ,,,,,,,Vypína sa,,Vypíná se
d02265db-ddf9-40a0-8d6a-4e0af2f5406a,c0549bd8-5ef9-4241-85f5-661db82213df,,Prasklý poškozený materiál,,,,,,,,Megrepedt/sérült anyag,,,,,,,Prasknutý/poškodený materiál,,Prasklý poškozený materiál
d02265db-ddf9-40a0-8d6a-4e0af2f5406a,96a9e3e9-3eea-49ac-ab8e-eb95af037f62,,"Jiné... (prosím, popište nám závadu níže)",,,,,,,,"Egyéb... (kérjük, írja le a hibát lejjebb)",,,,,,,Iné,,"Jiné... (prosím, popište nám závadu níže)"
d02265db-ddf9-40a0-8d6a-4e0af2f5406a,bcca8ec5-1161-4662-b0b5-5add3c1f5c57,,Problém s aplikací,,,,,,,,Probléma az alkalmazással,,,,,,,Problém s aplikací,,Problém s aplikací
